2D reactive Euler 
Nx, Ny      = 3500, 400
domain x    = [-50, 300]
domain y    = [0, 40]
final_time  = 30
OpenMP      = enabled, threads=32
scheme      = HLLC + MUSCL/MC + SSP-RK3 + Strang reaction
step=     20 t=  0.036589 dt=1.828959e-03 pmax=82.2845 shock_x=2.1015
step=     40 t=  0.072358 dt=1.738948e-03 pmax=80.9137 shock_x=2.1190
step=     60 t=  0.106129 dt=1.646888e-03 pmax=79.4302 shock_x=2.1455
step=     80 t=  0.138326 dt=1.579959e-03 pmax=78.1960 shock_x=2.1768
step=    100 t=  0.169386 dt=1.531162e-03 pmax=77.2820 shock_x=2.2143
step=    120 t=  0.199604 dt=1.494390e-03 pmax=76.5979 shock_x=2.2540
step=    140 t=  0.229181 dt=1.465928e-03 pmax=76.0447 shock_x=2.2978
step=    160 t=  0.257231 dt=1.444181e-03 pmax=75.5947 shock_x=2.3515
step=    180 t=  0.285919 dt=1.426048e-03 pmax=75.1880 shock_x=2.4110
step=    200 t=  0.314278 dt=1.411201e-03 pmax=74.8332 shock_x=2.4743
step=    220 t=  0.342370 dt=1.398878e-03 pmax=74.5254 shock_x=2.6075
step=    240 t=  0.370237 dt=1.388746e-03 pmax=74.2501 shock_x=2.7780
step=    260 t=  0.397920 dt=1.380123e-03 pmax=74.0158 shock_x=2.9523
step=    280 t=  0.425444 dt=1.372912e-03 pmax=73.8134 shock_x=3.1310
step=    300 t=  0.452837 dt=1.366837e-03 pmax=73.6355 shock_x=3.3088
step=    320 t=  0.480118 dt=1.361591e-03 pmax=73.4816 shock_x=3.4875
step=    340 t=  0.506787 dt=1.357059e-03 pmax=73.3474 shock_x=3.6643
step=    360 t=  0.533885 dt=1.352935e-03 pmax=73.2254 shock_x=3.8433
step=    380 t=  0.560905 dt=1.349316e-03 pmax=73.1158 shock_x=4.0215
step=    400 t=  0.587857 dt=1.346067e-03 pmax=73.0166 shock_x=4.2005
step=    420 t=  0.614746 dt=1.343132e-03 pmax=72.9261 shock_x=4.3783
step=    440 t=  0.641583 dt=1.340736e-03 pmax=72.8424 shock_x=4.5573
step=    460 t=  0.668375 dt=1.338616e-03 pmax=72.7665 shock_x=4.7338
step=    480 t=  0.695128 dt=1.336813e-03 pmax=74.0673 shock_x=4.9130
step=    500 t=  0.721847 dt=1.335294e-03 pmax=75.4503 shock_x=5.0905
step=    520 t=  0.748542 dt=1.334170e-03 pmax=77.2718 shock_x=5.2658
step=    540 t=  0.774008 dt=1.333514e-03 pmax=78.4254 shock_x=5.4348
step=    560 t=  0.800673 dt=1.333070e-03 pmax=79.3097 shock_x=5.6090
step=    580 t=  0.827332 dt=1.332855e-03 pmax=80.5636 shock_x=5.7880
step=    600 t=  0.853989 dt=1.332930e-03 pmax=81.4728 shock_x=5.9648
step=    620 t=  0.880649 dt=1.333276e-03 pmax=82.0730 shock_x=6.1395
step=    640 t=  0.907318 dt=1.333696e-03 pmax=82.9382 shock_x=6.3175
step=    660 t=  0.934000 dt=1.334350e-03 pmax=83.2244 shock_x=6.4925
step=    680 t=  0.960697 dt=1.335205e-03 pmax=83.0281 shock_x=6.6663
step=    700 t=  0.987412 dt=1.336209e-03 pmax=83.1547 shock_x=6.8450
step=    720 t=  1.013369 dt=1.337215e-03 pmax=82.8359 shock_x=7.0105
step=    740 t=  1.040122 dt=1.338224e-03 pmax=82.5590 shock_x=7.1910
step=    760 t=  1.066896 dt=1.339147e-03 pmax=82.2594 shock_x=7.3653
step=    780 t=  1.093691 dt=1.340148e-03 pmax=81.6054 shock_x=7.5405
step=    800 t=  1.120508 dt=1.341235e-03 pmax=81.3648 shock_x=7.7185
step=    820 t=  1.147345 dt=1.342383e-03 pmax=80.6136 shock_x=7.8923
step=    840 t=  1.174203 dt=1.343488e-03 pmax=79.9086 shock_x=8.0685
step=    860 t=  1.201080 dt=1.344394e-03 pmax=79.6577 shock_x=8.2453
step=    880 t=  1.227977 dt=1.345211e-03 pmax=78.7142 shock_x=8.4175
step=    900 t=  1.254038 dt=1.346048e-03 pmax=77.8651 shock_x=8.5900
step=    920 t=  1.280969 dt=1.346923e-03 pmax=77.9975 shock_x=8.7650
step=    940 t=  1.307915 dt=1.347744e-03 pmax=77.2074 shock_x=8.9430
step=    960 t=  1.334874 dt=1.348299e-03 pmax=76.7153 shock_x=9.1183
step=    980 t=  1.361840 dt=1.347489e-03 pmax=75.7046 shock_x=9.2900
step=   1000 t=  1.388758 dt=1.344629e-03 pmax=74.8800 shock_x=9.4690
step=   1020 t=  1.415621 dt=1.341863e-03 pmax=73.9748 shock_x=9.6373
step=   1040 t=  1.442431 dt=1.339426e-03 pmax=73.7148 shock_x=9.8165
step=   1060 t=  1.469192 dt=1.336864e-03 pmax=74.0649 shock_x=9.9895
step=   1080 t=  1.495908 dt=1.334934e-03 pmax=74.5092 shock_x=10.1623
step=   1100 t=  1.521339 dt=1.332914e-03 pmax=74.8452 shock_x=10.3263
step=   1120 t=  1.547978 dt=1.331080e-03 pmax=74.7100 shock_x=10.4965
step=   1140 t=  1.574586 dt=1.329823e-03 pmax=74.4532 shock_x=10.6705
step=   1160 t=  1.601164 dt=1.328031e-03 pmax=74.1001 shock_x=10.8398
step=   1180 t=  1.627715 dt=1.327233e-03 pmax=73.3360 shock_x=11.0133
step=   1200 t=  1.654245 dt=1.325976e-03 pmax=72.4167 shock_x=11.1800
step=   1220 t=  1.680753 dt=1.325085e-03 pmax=72.9524 shock_x=11.3515
step=   1240 t=  1.707246 dt=1.324300e-03 pmax=73.4744 shock_x=11.5195
step=   1260 t=  1.733724 dt=1.323394e-03 pmax=73.6431 shock_x=11.6913
step=   1280 t=  1.759262 dt=1.322915e-03 pmax=73.5977 shock_x=11.8503
step=   1300 t=  1.785719 dt=1.322479e-03 pmax=73.0948 shock_x=12.0225
step=   1320 t=  1.812165 dt=1.322181e-03 pmax=72.3062 shock_x=12.1880
step=   1340 t=  1.838604 dt=1.322089e-03 pmax=72.2876 shock_x=12.3598
step=   1360 t=  1.865039 dt=1.321671e-03 pmax=72.2689 shock_x=12.5250
step=   1380 t=  1.891465 dt=1.321222e-03 pmax=72.2499 shock_x=12.6950
step=   1400 t=  1.917889 dt=1.321017e-03 pmax=72.2305 shock_x=12.8598
step=   1420 t=  1.944309 dt=1.320625e-03 pmax=72.2113 shock_x=13.0305
step=   1440 t=  1.970723 dt=1.320487e-03 pmax=72.2716 shock_x=13.1953
step=   1460 t=  1.997134 dt=1.320430e-03 pmax=72.1739 shock_x=13.3643
step=   1480 t=  2.022444 dt=1.320336e-03 pmax=72.1554 shock_x=13.5223
step=   1500 t=  2.048845 dt=1.320305e-03 pmax=72.1361 shock_x=13.6900
step=   1520 t=  2.075243 dt=1.319710e-03 pmax=72.1175 shock_x=13.8560
step=   1540 t=  2.101633 dt=1.319250e-03 pmax=72.0990 shock_x=14.0245
step=   1560 t=  2.128020 dt=1.319040e-03 pmax=72.9300 shock_x=14.1880
step=   1580 t=  2.154403 dt=1.318858e-03 pmax=74.3346 shock_x=14.3563
step=   1600 t=  2.180778 dt=1.318599e-03 pmax=75.4484 shock_x=14.5210
step=   1620 t=  2.207150 dt=1.318459e-03 pmax=76.1845 shock_x=14.6880
step=   1640 t=  2.233518 dt=1.318396e-03 pmax=75.9195 shock_x=14.8533
step=   1660 t=  2.259226 dt=1.318279e-03 pmax=74.4005 shock_x=15.0152
step=   1680 t=  2.285587 dt=1.317874e-03 pmax=76.8993 shock_x=15.1803
step=   1700 t=  2.311942 dt=1.317552e-03 pmax=78.2993 shock_x=15.3470
step=   1720 t=  2.338298 dt=1.317788e-03 pmax=78.4382 shock_x=15.5103
step=   1740 t=  2.364651 dt=1.317456e-03 pmax=77.7888 shock_x=15.6763
